Num params:  62437601
cuda 68
Epoch 66 2024-05-09 16:54:46.264368 | step 000 Loss: 0.06937896460294724 
Epoch 67 2024-05-09 16:55:12.088489 | step 000 Loss: 0.07140631228685379 
Epoch 68 2024-05-09 16:55:37.910304 | step 000 Loss: 0.06959034502506256 
Epoch 69 2024-05-09 16:56:03.728547 | step 000 Loss: 0.07014104723930359 
Epoch 70 2024-05-09 16:56:29.544045 | step 000 Loss: 0.07385039329528809 
Epoch 71 2024-05-09 16:56:55.364923 | step 000 Loss: 0.07625208050012589 
Epoch 72 2024-05-09 16:57:21.189041 | step 000 Loss: 0.07109379023313522 
Epoch 73 2024-05-09 16:57:47.009505 | step 000 Loss: 0.06861942261457443 
Epoch 74 2024-05-09 16:58:12.831982 | step 000 Loss: 0.07663212716579437 
Epoch 75 2024-05-09 16:58:38.652109 | step 000 Loss: 0.06958712637424469 
Epoch 76 2024-05-09 16:59:04.474578 | step 000 Loss: 0.07019679993391037 
Epoch 77 2024-05-09 16:59:30.292768 | step 000 Loss: 0.07050105929374695 
Epoch 78 2024-05-09 16:59:56.111398 | step 000 Loss: 0.07088752835988998 
Epoch 79 2024-05-09 17:00:21.933716 | step 000 Loss: 0.06815418601036072 
Epoch 80 2024-05-09 17:00:47.760706 | step 000 Loss: 0.07376761734485626 
Epoch 81 2024-05-09 17:01:13.578203 | step 000 Loss: 0.06778249144554138 
Epoch 82 2024-05-09 17:01:39.401284 | step 000 Loss: 0.07164624333381653 
Epoch 83 2024-05-09 17:02:05.221227 | step 000 Loss: 0.06785795837640762 
Epoch 84 2024-05-09 17:02:31.049962 | step 000 Loss: 0.0700337290763855 
Epoch 85 2024-05-09 17:02:56.870793 | step 000 Loss: 0.06936309486627579 
Epoch 86 2024-05-09 17:03:22.697679 | step 000 Loss: 0.06951706111431122 
Epoch 87 2024-05-09 17:03:48.522752 | step 000 Loss: 0.06742262840270996 
Epoch 88 2024-05-09 17:04:14.341244 | step 000 Loss: 0.06898976117372513 
Epoch 89 2024-05-09 17:04:40.164311 | step 000 Loss: 0.06880701333284378 
Epoch 90 2024-05-09 17:05:05.986392 | step 000 Loss: 0.06704645603895187 
Epoch 91 2024-05-09 17:05:31.811163 | step 000 Loss: 0.06737193465232849 
Epoch 92 2024-05-09 17:05:57.631788 | step 000 Loss: 0.0666835755109787 
Epoch 93 2024-05-09 17:06:23.451534 | step 000 Loss: 0.06843028962612152 
Epoch 94 2024-05-09 17:06:49.270335 | step 000 Loss: 0.06767458468675613 
Epoch 95 2024-05-09 17:07:15.083940 | step 000 Loss: 0.06999536603689194 
Epoch 96 2024-05-09 17:07:40.903142 | step 000 Loss: 0.06737516820430756 
Epoch 97 2024-05-09 17:08:06.726100 | step 000 Loss: 0.06993412971496582 
Epoch 98 2024-05-09 17:08:32.545940 | step 000 Loss: 0.06723327934741974 
Epoch 99 2024-05-09 17:08:58.368312 | step 000 Loss: 0.06588687747716904 
Epoch 100 2024-05-09 17:09:24.185712 | step 000 Loss: 0.07085147500038147 
Epoch 101 2024-05-09 17:09:50.373657 | step 000 Loss: 0.06591549515724182 
Epoch 102 2024-05-09 17:10:16.192186 | step 000 Loss: 0.0666000097990036 
Epoch 103 2024-05-09 17:10:42.009471 | step 000 Loss: 0.06786457449197769 
Epoch 104 2024-05-09 17:11:07.832760 | step 000 Loss: 0.0683201253414154 
Epoch 105 2024-05-09 17:11:33.655827 | step 000 Loss: 0.06878300756216049 
Epoch 106 2024-05-09 17:11:59.532979 | step 000 Loss: 0.06868040561676025 
Epoch 107 2024-05-09 17:12:25.351187 | step 000 Loss: 0.06656621396541595 
Epoch 108 2024-05-09 17:12:51.172887 | step 000 Loss: 0.06868517398834229 
Epoch 109 2024-05-09 17:13:16.995515 | step 000 Loss: 0.06630972772836685 
Epoch 110 2024-05-09 17:13:42.815455 | step 000 Loss: 0.06515789031982422 
Epoch 111 2024-05-09 17:14:08.635212 | step 000 Loss: 0.06953597068786621 
Epoch 112 2024-05-09 17:14:34.453867 | step 000 Loss: 0.06626810878515244 
Epoch 113 2024-05-09 17:15:00.275549 | step 000 Loss: 0.06893162429332733 
Epoch 114 2024-05-09 17:15:26.092609 | step 000 Loss: 0.06615033745765686 
Epoch 115 2024-05-09 17:15:51.910319 | step 000 Loss: 0.06496427953243256 
Epoch 116 2024-05-09 17:16:17.733356 | step 000 Loss: 0.0665740892291069 
Epoch 117 2024-05-09 17:16:43.552634 | step 000 Loss: 0.06821060925722122 
Epoch 118 2024-05-09 17:17:09.377804 | step 000 Loss: 0.06732244044542313 
Epoch 119 2024-05-09 17:17:35.202642 | step 000 Loss: 0.06650550663471222 
Epoch 120 2024-05-09 17:18:01.019347 | step 000 Loss: 0.06741203367710114 
Epoch 121 2024-05-09 17:18:26.837972 | step 000 Loss: 0.06705501675605774 
Epoch 122 2024-05-09 17:18:52.651576 | step 000 Loss: 0.06637255102396011 
Epoch 123 2024-05-09 17:19:18.466332 | step 000 Loss: 0.0676487535238266 
Epoch 124 2024-05-09 17:19:44.276291 | step 000 Loss: 0.06578512489795685 
Epoch 125 2024-05-09 17:20:10.081367 | step 000 Loss: 0.06514573097229004 
Epoch 126 2024-05-09 17:20:35.890573 | step 000 Loss: 0.06899358332157135 
Epoch 127 2024-05-09 17:21:01.700475 | step 000 Loss: 0.0668976902961731 
Epoch 128 2024-05-09 17:21:27.509124 | step 000 Loss: 0.06441748887300491 
Epoch 129 2024-05-09 17:21:53.318806 | step 000 Loss: 0.06375689059495926 
Epoch 130 2024-05-09 17:22:19.126334 | step 000 Loss: 0.06801062822341919 
Epoch 131 2024-05-09 17:22:44.932081 | step 000 Loss: 0.0667746514081955 
Epoch 132 2024-05-09 17:23:10.741025 | step 000 Loss: 0.06597527116537094 
Epoch 133 2024-05-09 17:23:36.549156 | step 000 Loss: 0.06804884970188141 
Epoch 134 2024-05-09 17:24:02.354582 | step 000 Loss: 0.06460045278072357 
Epoch 135 2024-05-09 17:24:28.160667 | step 000 Loss: 0.06888552010059357 
Epoch 136 2024-05-09 17:24:53.963432 | step 000 Loss: 0.06980816274881363 
Epoch 137 2024-05-09 17:25:19.766274 | step 000 Loss: 0.06509827822446823 
Epoch 138 2024-05-09 17:25:45.572991 | step 000 Loss: 0.06364896148443222 
Epoch 139 2024-05-09 17:26:11.378440 | step 000 Loss: 0.06463202834129333 
Epoch 140 2024-05-09 17:26:37.189103 | step 000 Loss: 0.06853261590003967 
Epoch 141 2024-05-09 17:27:03.001524 | step 000 Loss: 0.06746269762516022 
Epoch 142 2024-05-09 17:27:28.809519 | step 000 Loss: 0.06955456733703613 
Epoch 143 2024-05-09 17:27:54.623837 | step 000 Loss: 0.0663469210267067 
Epoch 144 2024-05-09 17:28:20.430801 | step 000 Loss: 0.06446226686239243 
Epoch 145 2024-05-09 17:28:46.237050 | step 000 Loss: 0.06524159014225006 
Epoch 146 2024-05-09 17:29:12.050596 | step 000 Loss: 0.067437082529068 
Epoch 147 2024-05-09 17:29:37.861229 | step 000 Loss: 0.06458187103271484 
Epoch 148 2024-05-09 17:30:03.673110 | step 000 Loss: 0.06560259312391281 
Epoch 149 2024-05-09 17:30:29.481778 | step 000 Loss: 0.06813307106494904 
Epoch 150 2024-05-09 17:30:55.294421 | step 000 Loss: 0.06463134288787842 
Epoch 151 2024-05-09 17:31:21.098814 | step 000 Loss: 0.06377166509628296 
Epoch 152 2024-05-09 17:31:46.900044 | step 000 Loss: 0.06363708525896072 
Epoch 153 2024-05-09 17:32:12.703504 | step 000 Loss: 0.06655906140804291 
Epoch 154 2024-05-09 17:32:38.505756 | step 000 Loss: 0.06754855066537857 
Epoch 155 2024-05-09 17:33:04.315034 | step 000 Loss: 0.06417466700077057 
Epoch 156 2024-05-09 17:33:30.122664 | step 000 Loss: 0.06282082945108414 
Epoch 157 2024-05-09 17:33:55.927284 | step 000 Loss: 0.06392040848731995 
Epoch 158 2024-05-09 17:34:21.737423 | step 000 Loss: 0.0638352781534195 
Epoch 159 2024-05-09 17:34:47.549093 | step 000 Loss: 0.06618210673332214 
Epoch 160 2024-05-09 17:35:13.357521 | step 000 Loss: 0.06604553014039993 
Epoch 161 2024-05-09 17:35:39.166355 | step 000 Loss: 0.0649944394826889 
Epoch 162 2024-05-09 17:36:04.979269 | step 000 Loss: 0.06428930163383484 
Epoch 163 2024-05-09 17:36:30.791337 | step 000 Loss: 0.06456166505813599 
Epoch 164 2024-05-09 17:36:56.605745 | step 000 Loss: 0.06387066841125488 
Epoch 165 2024-05-09 17:37:22.414024 | step 000 Loss: 0.06618426740169525 
Epoch 166 2024-05-09 17:37:48.217985 | step 000 Loss: 0.06574791669845581 
Epoch 167 2024-05-09 17:38:14.023485 | step 000 Loss: 0.06389766186475754 
Epoch 168 2024-05-09 17:38:39.836646 | step 000 Loss: 0.06793314963579178 
Epoch 169 2024-05-09 17:39:05.648635 | step 000 Loss: 0.06710471957921982 
Epoch 170 2024-05-09 17:39:31.456398 | step 000 Loss: 0.06140774115920067 
Epoch 171 2024-05-09 17:39:57.262753 | step 000 Loss: 0.06699146330356598 
Epoch 172 2024-05-09 17:40:23.063997 | step 000 Loss: 0.06562751531600952 
Epoch 173 2024-05-09 17:40:48.873795 | step 000 Loss: 0.06388428807258606 
Epoch 174 2024-05-09 17:41:14.683132 | step 000 Loss: 0.06436139345169067 
Epoch 175 2024-05-09 17:41:40.492002 | step 000 Loss: 0.06329203397035599 
Epoch 176 2024-05-09 17:42:06.296614 | step 000 Loss: 0.0636952668428421 
Epoch 177 2024-05-09 17:42:32.102577 | step 000 Loss: 0.06531555950641632 
Epoch 178 2024-05-09 17:42:57.902790 | step 000 Loss: 0.06290314346551895 
